Datetime,Consumption kWh (Ticino)
01.01.2022 00:15,109026.567
01.01.2022 00:30,108256.887
01.01.2022 00:45,107559.767
01.01.2022 01:00,106096.97
01.01.2022 01:15,108153.889
01.01.2022 01:30,107221.89
01.01.2022 01:45,106116.982
01.01.2022 02:00,104796.55
01.01.2022 02:15,103769.583
01.01.2022 02:30,102511.217
01.01.2022 02:45,101621.609
01.01.2022 03:00,100273.509
01.01.2022 03:15,100015.621
01.01.2022 03:30,99252.046
01.01.2022 03:45,98516.67
01.01.2022 04:00,98414.003
01.01.2022 04:15,98108.946
01.01.2022 04:30,97915.239
01.01.2022 04:45,98266.876
01.01.2022 05:00,97272
01.01.2022 05:15,90576.177
01.01.2022 05:30,91154.798
01.01.2022 05:45,91455.788
01.01.2022 06:00,91667.977
01.01.2022 06:15,91132.046
01.01.2022 06:30,92389.469
01.01.2022 06:45,92462.462
01.01.2022 07:00,93165.285
01.01.2022 07:15,86297.169
01.01.2022 07:30,84976.538
01.01.2022 07:45,85893.005
01.01.2022 08:00,86163.686
01.01.2022 08:15,99988.377
01.01.2022 08:30,104424.323
01.01.2022 08:45,104938.279
01.01.2022 09:00,105418.491
01.01.2022 09:15,105546.005
01.01.2022 09:30,106409.321
01.01.2022 09:45,108005.764
01.01.2022 10:00,108078.798
01.01.2022 10:15,108581.787
01.01.2022 10:30,106984.229
01.01.2022 10:45,106373.463
01.01.2022 11:00,106287.949
01.01.2022 11:15,106657.921
01.01.2022 11:30,105375.758
01.01.2022 11:45,105078.157
01.01.2022 12:00,105291.081
01.01.2022 12:15,103835.029
01.01.2022 12:30,104228.81
01.01.2022 12:45,102502.672
01.01.2022 13:00,104048.851
01.01.2022 13:15,103490.91
01.01.2022 13:30,102179.041
01.01.2022 13:45,101412.991
01.01.2022 14:00,100827.755
01.01.2022 14:15,101978.726
01.01.2022 14:30,102987.129
01.01.2022 14:45,102496.578
01.01.2022 15:00,100256.256
01.01.2022 15:15,92013.952
01.01.2022 15:30,92093.596
01.01.2022 15:45,92758.034
01.01.2022 16:00,93042.133
01.01.2022 16:15,103851.954
01.01.2022 16:30,104560.245
01.01.2022 16:45,106453.664
01.01.2022 17:00,106235.185
01.01.2022 17:15,94251.025
01.01.2022 17:30,95799.456
01.01.2022 17:45,96461.813
01.01.2022 18:00,96936.171
01.01.2022 18:15,99072.919
01.01.2022 18:30,99725.06
01.01.2022 18:45,101200.033
